番号,学年,単語,意味,番号,学年,単語,意味
114,中学1年,everyone,みんな,114,中学2年,coat,コート
115,中学1年,everything,すべてのもの,115,中学2年,coffee,コーヒー
116,中学1年,fall,秋,116,中学2年,coin,硬貨
117,中学1年,family,家族,117,中学2年,college,大学
118,中学1年,famous,有名な,118,中学2年,color,色
119,中学1年,far,遠くに，はるかに,119,中学2年,comic,マンガ
120,中学1年,fast,速い,120,中学2年,communication,コミュニケーション
121,中学1年,father,父,121,中学2年,compare,比べる
122,中学1年,favorite,一番好きな,122,中学2年,complain,不満を言う
123,中学1年,February,２月,123,中学2年,computer,コンピュータ
124,中学1年,field,野原，競技場,124,中学2年,contest,コンテスト
125,中学1年,fifteen,15,125,中学2年,cool,かっこいい
126,中学1年,fifty,50,126,中学2年,corner,かど
127,中学1年,fine,すばらしい，元気な，晴れた,127,中学2年,could,…してくださいませんか
128,中学1年,first,１日,128,中学2年,cried,泣いた
129,中学1年,fish,魚,129,中学2年,cry,泣く
130,中学1年,five,5,130,中学2年,culture,文化
131,中学1年,floor,床，階,131,中学2年,cut,切る
132,中学1年,flower,花,132,中学2年,cute,かわいい
133,中学1年,forty,40,133,中学2年,dark,暗い
134,中学1年,four,4,134,中学2年,date,日付
135,中学1年,fourteen,14,135,中学2年,dear,親愛なる
136,中学1年,free,ひまな、無料の,136,中学2年,decide,決心する
137,中学1年,Friday,金曜日,137,中学2年,deep,深い
138,中学1年,friend,友人,138,中学2年,dictionary,辞書
139,中学1年,friendly,親しみやすい,139,中学2年,die,死ぬ
140,中学1年,from,～から,140,中学2年,different,違った
141,中学1年,fruit,果物,141,中学2年,difficult,むずかしい
142,中学1年,full,満タンの、いっぱいの,142,中学2年,disagree,意見が合わない
143,中学1年,fun,おもしろいこと,143,中学2年,discover,発見する
144,中学1年,funny,おかしい、おもしろい,144,中学2年,dish,皿，料理
145,中学1年,garden,庭,145,中学2年,dislike,嫌う
146,中学1年,gate,門,146,中学2年,dollar,ドル
147,中学1年,get,得る，着く，乗る,147,中学2年,down,を通って
148,中学1年,girl,少女,148,中学2年,draw,描く，引く
149,中学1年,give,与える，(会などを)開く,149,中学2年,dream,夢
150,中学1年,glad,うれしい,150,中学2年,dress,着る
151,中学1年,glass,コップ，ガラス,151,中学2年,drink,飲む
152,中学1年,go,行く,152,中学2年,drive,運転する
153,中学1年,good,良い,153,中学2年,dry,乾く
154,中学1年,green,緑の,154,中学2年,duck,あひる
155,中学1年,guitar,ギター,155,中学2年,dump,ごみ捨て場
156,中学1年,hair,髪の毛,156,中学2年,during,～の間、～の中
157,中学1年,half,半分,157,中学2年,each,おのおのの
158,中学1年,hand,手,158,中学2年,ear,耳
159,中学1年,happy,幸福な，楽しい,159,中学2年,earth,地球，大地
160,中学1年,have,持っている，食べる,160,中学2年,eat,食べる
161,中学1年,he,彼は,161,中学2年,echo,こだま
162,中学1年,help,助ける,162,中学2年,elevator,エレベーター
163,中学1年,her,彼女の,163,中学2年,else,ほかに
164,中学1年,here,ここに,164,中学2年,email,Eメール
165,中学1年,hers,彼女のもの,165,中学2年,end,終わる
166,中学1年,herself,彼女自身,166,中学2年,English,英語
167,中学1年,high,高い,167,中学2年,enough,十分な
168,中学1年,him,彼を(に),168,中学2年,enter,入る
169,中学1年,himself,彼自身,169,中学2年,e-pal,Eメル友達
170,中学1年,his,彼の,170,中学2年,eraser,消しゴム
171,中学1年,home,家を(へ),171,中学2年,everything,あらゆること
172,中学1年,homework,宿題,172,中学2年,example,例
173,中学1年,honest,正直な,173,中学2年,exchange,交換する、両替する
174,中学1年,hospital,病院,174,中学2年,exciting,興奮させる
175,中学1年,hot,暑い,175,中学2年,excuse,許す
176,中学1年,hotel,ホテル,176,中学2年,eye,目
177,中学1年,hour,時間,177,中学2年,face,顔
178,中学1年,house,家,178,中学2年,factory,工場
179,中学1年,how,どのくらい,179,中学2年,fail,失敗する
180,中学1年,hungry,空腹の,180,中学2年,fall,落ちる
181,中学1年,I,私は(が),181,中学2年,famous,有名な
182,中学1年,ill,病気の,182,中学2年,fan,ファン
183,中学1年,in,～に、～で,183,中学2年,far,遠く
184,中学1年,interesting,興味深い,184,中学2年,farm,農場
185,中学1年,it,それは,185,中学2年,farmer,農場主
186,中学1年,its,それの,186,中学2年,favor,親切な行為
187,中学1年,itself,それ自身,187,中学2年,feel,感じる
188,中学1年,January,１月,188,中学2年,feeling,感覚
189,中学1年,Japan,日本,189,中学2年,fell,落ちた
190,中学1年,Japanese,日本語,190,中学2年,festival,祭典
191,中学1年,July,７月,191,中学2年,few,(aをつけ)少数の
192,中学1年,June,６月,192,中学2年,fiction,小説
193,中学1年,junior,年下の，下級の,193,中学2年,fill,いっぱいにする
194,中学1年,kind,親切な,194,中学2年,find,見つける，～とわかる
195,中学1年,kitchen,台所,195,中学2年,fine,元気な
196,中学1年,know,知っている,196,中学2年,finger,指
197,中学1年,large,大きい，広い,197,中学2年,finish,終える
198,中学1年,later,後で,198,中学2年,fire,火
199,中学1年,learn,学ぶ，覚える,199,中学2年,fish,魚
200,中学1年,leave,去る，残す，置いて行く,200,中学2年,flew,飛んだ
201,中学1年,left,左,201,中学2年,fly,飛行機で行く，飛ぶ
202,中学1年,lemon,レモン,202,中学2年,food,食べ物
203,中学1年,letter,手紙,203,中学2年,fool,馬鹿
204,中学1年,library,図書館,204,中学2年,foolish,愚かな
205,中学1年,light,明るい,205,中学2年,foot,足
206,中学1年,like,好む,206,中学2年,football,フットボール
207,中学1年,line,線，列,207,中学2年,foreign,外国の
208,中学1年,little,小さい，幼い，ちょっとした,208,中学2年,forever,永久に
209,中学1年,live,住む，生きる,209,中学2年,forget,忘れる
210,中学1年,long,長い,210,中学2年,fork,フォーク
211,中学1年,look,見る，～に見える,211,中学2年,found,見つけた
212,中学1年,lot,たくさん,212,中学2年,free,自由な，ひまな
213,中学1年,low,低い,213,中学2年,front,前
214,中学1年,lunch,昼食,214,中学2年,full,いっぱいの
215,中学1年,mail,郵便,215,中学2年,fun,楽しみ
216,中学1年,make,作る，～を～にする,216,中学2年,future,未来
217,中学1年,man,男の人,217,中学2年,game,試合
218,中学1年,many,多くの,218,中学2年,garbage,ごみ、生ごみ
219,中学1年,map,地図,219,中学2年,gave,give の過去形
220,中学1年,March,３月,220,中学2年,gentleman,紳士
221,中学1年,math,数学,221,中学2年,gift,贈り物
222,中学1年,May,５月,222,中学2年,girl,女の子
223,中学1年,me,私を,223,中学2年,give,与える
224,中学1年,meal,食事,224,中学2年,glove,グローブ
225,中学1年,meet,会う,225,中学2年,god,神
226,中学1年,meter,メートル,226,中学2年,gold,金
227,中学1年,milk,牛乳,227,中学2年,grade,学年
228,中学1年,mine,私のもの,228,中学2年,grandfather,祖父
229,中学1年,minute,分，ちょっとの間,229,中学2年,grandmother,祖母
230,中学1年,mitt,ミット,230,中学2年,grass,草
231,中学1年,Monday,月曜日,231,中学2年,great,すばらしい，広大な
232,中学1年,month,月,232,中学2年,green,緑
233,中学1年,morning,朝,233,中学2年,ground,地面
234,中学1年,most,ほとんど,234,中学2年,group,グループ
235,中学1年,mother,母,235,中学2年,grow,成長する，になる，増加する，育てる，栽培する
236,中学1年,move,動く，感動させる,236,中学2年,guest,客
237,中学1年,Mr. ～,(男性)～さん,237,中学2年,guitar,ギター
238,中学1年,Ms. ～,(女性)～さん,238,中学2年,gun,鉄砲
239,中学1年,much,ずっと，たいへん,239,中学2年,habit,習慣
240,中学1年,music,音楽,240,中学2年,hair,髪
241,中学1年,my,私の,241,中学2年,happen,起こる
242,中学1年,myself,私自身を,242,中学2年,happiness,幸福
243,中学1年,name,名前,243,中学2年,hat,帽子
244,中学1年,need,必要とする,244,中学2年,hate,憎む
245,中学1年,new,新しい,245,中学2年,head,頭，先頭
246,中学1年,next,次の，隣の,246,中学2年,headache,頭痛
247,中学1年,nice,すばらしい,247,中学2年,health,健康
248,中学1年,night,夜,248,中学2年,hear,聞く
249,中学1年,nine,9,249,中学2年,hear from,…から便りをもらう
250,中学1年,nineteen,19,250,中学2年,heard,聞いた
251,中学1年,ninety,90,251,中学2年,heart,心
252,中学1年,no,いいえ,252,中学2年,hill,丘
253,中学1年,nobody,だれも～ない,253,中学2年,history,歴史
254,中学1年,noisy,うるさい,254,中学2年,hit,当たる
255,中学1年,none,何も(だれも)～ない,255,中学2年,hobby,趣味
256,中学1年,noon,正午,256,中学2年,hold,握る，開催する，差し出す
257,中学1年,north,北,257,中学2年,hole,穴
258,中学1年,not,～でない,258,中学2年,holiday,休日
259,中学1年,notebook,ノート,259,中学2年,home,故郷，家
260,中学1年,nothing,何も～ない,260,中学2年,homeroom,ホームルーム
261,中学1年,November,１１月,261,中学2年,homestay,ホームステイ
262,中学1年,now,今,262,中学2年,hope,希望
263,中学1年,number,数,263,中学2年,horse,馬
264,中学1年,nurse,看護婦,264,中学2年,host,主催する
265,中学1年,o’clock,～時,265,中学2年,hour,"１時間, 時間"
266,中学1年,o’clock,～時,266,中学2年,housework,家事
267,中学1年,October,１０月,267,中学2年,human,人間の
268,中学1年,of,～の,268,中学2年,hundred,百
269,中学1年,office,事務所,269,中学2年,hunt,狩りをする
270,中学1年,often,しばしば,270,中学2年,hurry,急ぐ
271,中学1年,old,年をとった，古い,271,中学2年,ice,氷
272,中学1年,on,～の上に、～に,272,中学2年,idea,考え
273,中学1年,one,1,273,中学2年,if,もし…ならば
274,中学1年,open,開ける,274,中学2年,imagine,想像する
275,中学1年,or,～または,275,中学2年,important,重要な
276,中学1年,orange,オレンジ,276,中学2年,industrial,工業の、産業の
277,中学1年,our,私たちの,277,中学2年,inside,内側
278,中学1年,ours,私たちのもの,278,中学2年,interested,興味をもった
279,中学1年,ourselves,私たち自身を,279,中学2年,interesting,おもしろい
280,中学1年,parent,親,280,中学2年,Internet,インターネット
281,中学1年,park,公園,281,中学2年,into,…の中へ[に]
282,中学1年,pen,ペン,282,中学2年,invite,招待する
283,中学1年,pencil,鉛筆,283,中学2年,island,島
284,中学1年,people,人々,284,中学2年,job,仕事
285,中学1年,piano,ピアノ,285,中学2年,join,参加する
286,中学1年,picture,絵，写真,286,中学2年,jump,跳ぶ
287,中学1年,pilot,パイロット,287,中学2年,keep,保つ，～を(持ち)続ける
288,中学1年,place,場所,288,中学2年,key,鍵
289,中学1年,plane,飛行機,289,中学2年,key chain,キーホルダー
290,中学1年,play,遊ぶ，(スポーツを)をする，演奏する,290,中学2年,kill,殺す
291,中学1年,player,選手，演奏者,291,中学2年,kind,種類
292,中学1年,poor,貧乏な，かわいそうな，不十分な,292,中学2年,king,王様
293,中学1年,popular,人気のある,293,中学2年,knife,ナイフ
294,中学1年,pot,ポット,294,中学2年,lady,婦人
295,中学1年,present,プレゼント,295,中学2年,lake,湖
296,中学1年,put,置く,296,中学2年,land,陸地，土地
297,中学1年,question,質問,297,中学2年,language,言語
298,中学1年,quiet,静かな,298,中学2年,last,最後
299,中学1年,racket,ラケット,299,中学2年,later,のちに
300,中学1年,rain,雨,300,中学2年,laugh,笑う
301,中学1年,read,読む,301,中学2年,law,法律
302,中学1年,red,赤い,302,中学2年,leaf,葉
303,中学1年,rich,金持ちの，豊かな,303,中学2年,learn,学ぶ、習う
304,中学1年,ride,乗る,304,中学2年,left,出た
305,中学1年,right,右，権利,305,中学2年,leg,脚
306,中学1年,room,部屋,306,中学2年,lend,貸す
307,中学1年,rose,バラ,307,中学2年,lesson,授業，課
308,中学1年,run,走る,308,中学2年,letter,手紙
309,中学1年,sad,悲しい,309,中学2年,library,図書館
310,中学1年,Saturday,土曜日,310,中学2年,lie,嘘
311,中学1年,school,学校,311,中学2年,life,生活，生命，人生
312,中学1年,science,科学,312,中学2年,light,光，明かり，信号
313,中学1年,season,季節,313,中学2年,lion,ライオン
314,中学1年,second,２日,314,中学2年,listen,聴く
315,中学1年,sell,売る,315,中学2年,little,小さい
316,中学1年,send,送る,316,中学2年,locker,ロッカー
317,中学1年,September,９月,317,中学2年,lose,失う，負ける
318,中学1年,seven,7,318,中学2年,loud,(声の)大きい
319,中学1年,seventeen,17,319,中学2年,love,愛，愛する人
320,中学1年,seventy,70,320,中学2年,low,低い
321,中学1年,she,彼女は,321,中学2年,lucky,好運な
322,中学1年,sheep,羊,322,中学2年,machine,機械
323,中学1年,short,短い，背が低い,323,中学2年,made,作った
324,中学1年,shy,恥ずかしがりの,324,中学2年,magazine,雑誌
325,中学1年,sick,病気で(の),325,中学2年,magic,魔法の
326,中学1年,sing,歌う,326,中学2年,main,主な
327,中学1年,singer,歌手,327,中学2年,make,作る
328,中学1年,sister,姉妹,328,中学2年,market,市場
329,中学1年,six,6,329,中学2年,math,数学
330,中学1年,sixteen,16,330,中学2年,may,…してもよいですか
331,中学1年,sixty,60,331,中学2年,mean,意味する
332,中学1年,slow,遅い,332,中学2年,meat,肉
333,中学1年,slowly,ゆっくりと,333,中学2年,medal,メダル
334,中学1年,small,小さな,334,中学2年,medicine,薬
335,中学1年,smart,賢い,335,中学2年,member,会員
336,中学1年,snow,雪,336,中学2年,message,伝言
337,中学1年,so,そんなに,337,中学2年,met,会った
338,中学1年,soccer,サッカー,338,中学2年,meter,メートル
339,中学1年,some,いくつかの,339,中学2年,mile,マイル
340,中学1年,someone,だれか,340,中学2年,million,１００万
341,中学1年,something,何か,341,中学2年,mind,心
342,中学1年,sometimes,時々,342,中学2年,mirror,鏡
343,中学1年,son,息子,343,中学2年,mistake,誤り
344,中学1年,soon,すぐに,344,中学2年,money,お金
345,中学1年,sorry,残念な,345,中学2年,monkey,サル
346,中学1年,south,南,346,中学2年,monster,怪物
347,中学1年,speak,話す,347,中学2年,moon,月
348,中学1年,sport,スポーツ,348,中学2年,more,(..より)もっと
349,中学1年,spring,春,349,中学2年,most,最も
350,中学1年,stamp,切手,350,中学2年,motto,モットー
351,中学1年,stand,立つ,351,中学2年,mountain,山
352,中学1年,station,駅,352,中学2年,mouse,はつかねずみ
353,中学1年,stay,滞在する,353,中学2年,mouth,口
354,中学1年,stop,止める，止まる,354,中学2年,movie,映画
355,中学1年,store,店,355,中学2年,moving,感動的な
356,中学1年,strong,強い，じょうぶな,356,中学2年,museum,博物館
357,中学1年,student,学生,357,中学2年,music,音楽
358,中学1年,study,勉強する,358,中学2年,must,…しなければならない
359,中学1年,subject,科目，題目,359,中学2年,name,名づける
360,中学1年,summer,夏,360,中学2年,nature,自然
361,中学1年,Sunday,日曜日,361,中学2年,near,の近くに
362,中学1年,supper,夕食,362,中学2年,neck,首
363,中学1年,swim,泳ぐ,363,中学2年,need,必要である
364,中学1年,table,テーブル,364,中学2年,nest,巣
365,中学1年,tall,背の高い,365,中学2年,news,ニュース
366,中学1年,tape,テープ,366,中学2年,newspaper,新聞
367,中学1年,teacher,先生,367,中学2年,next,次に
368,中学1年,ten,10,368,中学2年,noise,物音
369,中学1年,tennis,テニス,369,中学2年,nose,鼻
370,中学1年,that,あの,370,中学2年,notice,気がつく
371,中学1年,the,その,371,中学2年,nuclear,核の
372,中学1年,their,彼(女)らの,372,中学2年,of course,もちろん
373,中学1年,theirs,彼(女)らのもの,373,中学2年,oil,油
374,中学1年,them,彼(女)らを(に),374,中学2年,once,以前は
375,中学1年,themselves,彼(女)ら自身,375,中学2年,opinion,意見
376,中学1年,there,そこに,376,中学2年,organ,オルガン
377,中学1年,these,これらの,377,中学2年,other,ほかの
378,中学1年,they,それらは，彼(女)らは,378,中学2年,overcoat,オーバー
379,中学1年,thing,こと・物,379,中学2年,own,自分の
380,中学1年,third,３日,380,中学2年,paint,描く，(～に)ペンキを塗る
381,中学1年,thirteen,13,381,中学2年,pants,ズボン
382,中学1年,thirty,30,382,中学2年,paper,紙，レポート
383,中学1年,this,この,383,中学2年,parent,親
384,中学1年,those,あれらの,384,中学2年,part,部分
385,中学1年,three,3,385,中学2年,party,パーティー
386,中学1年,Thursday,木曜日,386,中学2年,pass,過ぎる，合格する，手渡す
387,中学1年,time,時，～回,387,中学2年,passport,パスポート
388,中学1年,to,～へ,388,中学2年,past,過去の
389,中学1年,today,今日，現在,389,中学2年,pay,支払う
390,中学1年,together,一緒に,390,中学2年,peace,平和
391,中学1年,tomorrow,明日,391,中学2年,peanut,ピーナッツ
392,中学1年,too,～もまた，～すぎる,392,中学2年,pencil,えんぴつ
393,中学1年,town,町,393,中学2年,penguin,ペンギン
394,中学1年,train,電車、列車,394,中学2年,people,人々
395,中学1年,tree,木,395,中学2年,perfect,完璧な
396,中学1年,try,試す,396,中学2年,person,人
397,中学1年,Tuesday,火曜日,397,中学2年,pet,ペット
398,中学1年,TV,テレビ,398,中学2年,phone,電話
399,中学1年,twelve,12,399,中学2年,photo,写真
400,中学1年,twenty,20,400,中学2年,pick,選ぶ，摘む
401,中学1年,two,2,401,中学2年,picnic,ピクニック
402,中学1年,uncle,おじ,402,中学2年,pie,パイ
403,中学1年,under,～の下に,403,中学2年,piece,断片
404,中学1年,up,上へ,404,中学2年,pig,ブタ
405,中学1年,us,私たちを(に),405,中学2年,place,場所
406,中学1年,use,使う,406,中学2年,plan,計画
407,中学1年,usually,ふつう,407,中学2年,plane,飛行機
408,中学1年,very,非常に,408,中学2年,planet,惑星
409,中学1年,village,村,409,中学2年,pocket,ポケット
410,中学1年,visit,訪問する,410,中学2年,poem,詩
411,中学1年,wait,待つ,411,中学2年,point,指さす
412,中学1年,walk,散歩,412,中学2年,police,警察
413,中学1年,wall,壁,413,中学2年,pond,池
414,中学1年,want,欲しい,414,中学2年,poor,かわいそうな
415,中学1年,warm,温暖な,415,中学2年,popular,人気のある
416,中学1年,wash,洗う,416,中学2年,pork,ブタ肉
417,中学1年,watch,腕時計,417,中学2年,port,港
418,中学1年,way,道，方法,418,中学2年,post,郵便
419,中学1年,we,私たちは,419,中学2年,post office,郵便局
420,中学1年,weather,天気,420,中学2年,potato,じゃがいも
421,中学1年,Wednesday,水曜日,421,中学2年,practice,練習する
422,中学1年,week,週,422,中学2年,present,プレゼント
423,中学1年,well,よく，じょうずに,423,中学2年,pretty,きれいな
424,中学1年,west,西,424,中学2年,problem,問題
425,中学1年,what,何,425,中学2年,program,番組
426,中学1年,where,どこに,426,中学2年,purpose,目的
427,中学1年,which,どちら,427,中学2年,push,押す
428,中学1年,white,白い,428,中学2年,question,質問
429,中学1年,who,だれ,429,中学2年,quiet,静かな
430,中学1年,whose,だれの(もの),430,中学2年,rabbit,ウサギ
431,中学1年,why,なぜ,431,中学2年,radio,ラジオ
432,中学1年,window,窓,432,中学2年,rain,雨
433,中学1年,winter,冬,433,中学2年,rainy,雨降りの
434,中学1年,with,～といっしよに,434,中学2年,rat,ネズミ
435,中学1年,woman,女性,435,中学2年,read,読む
436,中学1年,work,仕事，作品,436,中学2年,ready,用意できている
437,中学1年,write,書く，手紙を書く,437,中学2年,record,レコード
438,中学1年,yard,中庭,438,中学2年,remember,思い出す，覚えている
439,中学1年,year,年,439,中学2年,rest,休息する
440,中学1年,yes,はい,440,中学2年,return,お返し
441,中学1年,yesterday,昨日,441,中学2年,rice,ご飯
442,中学1年,yet,まだ(～でない),442,中学2年,right,正しい，右に
443,中学1年,you,あなたに(を)，あなたがたを,443,中学2年,ring,指輪
444,中学1年,young,若い,444,中学2年,rise,起き上がる，のぼる
445,中学1年,your,あなたの，あなたがたの,445,中学2年,river,川
446,中学1年,yours,あなたのもの，あなたがたのもの,446,中学2年,road,道
447,中学1年,yourself,あなた自身,447,中学2年,rock,ロック
448,中学1年,TRUE,ほんとうの,448,中学2年,roof,屋根
,,,,449,中学2年,room,部屋
,,,,450,中学2年,sad,悲しい
,,,,451,中学2年,said,言った
,,,,452,中学2年,sail,(船を)走らせる
,,,,453,中学2年,sailor,船員
,,,,454,中学2年,sale,特売
,,,,455,中学2年,salt,塩
,,,,456,中学2年,same,同じ
,,,,457,中学2年,sang,歌った
,,,,458,中学2年,say,言う
,,,,459,中学2年,sea,海
,,,,460,中学2年,seat,座席
,,,,461,中学2年,see,見る，わかる，調査する
,,,,462,中学2年,seem,～のように思われる
,,,,463,中学2年,send,送る
,,,,464,中学2年,sent,送った
,,,,465,中学2年,set,置く
,,,,466,中学2年,shall,…しましょうか。
,,,,467,中学2年,shine,光る，輝く
,,,,468,中学2年,ship,船
,,,,469,中学2年,shirt,シャツ
,,,,470,中学2年,shoe,靴
,,,,471,中学2年,shop,店
,,,,472,中学2年,shopping,買い物
,,,,473,中学2年,should,…すべきである
,,,,474,中学2年,shoulder,肩
,,,,475,中学2年,shout,叫ぶ
,,,,476,中学2年,show,ショー
,,,,477,中学2年,sick,病気の
,,,,478,中学2年,side,側面
,,,,479,中学2年,sightseeing,観光
,,,,480,中学2年,simple,簡単な
,,,,481,中学2年,sing,歌う
,,,,482,中学2年,singer,歌手
,,,,483,中学2年,sit,座る
,,,,484,中学2年,skate,スケートをする
,,,,485,中学2年,ski,スキーをする
,,,,486,中学2年,skirt,スカート
,,,,487,中学2年,sky,空
,,,,488,中学2年,sleep,眠る
,,,,489,中学2年,smile,ほお笑み
,,,,490,中学2年,snow,雪
,,,,491,中学2年,soccer,サッカー
,,,,492,中学2年,softball,ソフトボール
,,,,493,中学2年,someone,だれか
,,,,494,中学2年,something,何かあるもの
,,,,495,中学2年,song,歌
,,,,496,中学2年,sound,音
,,,,497,中学2年,space,宇宙
